Enhancer_ID	chr	start	end	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
576	chr9	133771531	133778909	213.16806618066263	-5.197277135967241	0.6299836617228027	-8.24986019757141	1.5857993117409772e-16	9.831955732794059e-14
459	chr6	67318514	67322636	91.37424196666562	-5.560842216655891	0.7208646771601124	-7.71412775912831	1.2181240648375768e-14	3.776184600996488e-12
355	chr5	114761696	114772121	229.89502375230242	-4.770084209885774	0.6277266098102973	-7.598983594669219	2.984656093231688e-14	6.1682892593454875e-12
144	chr12	106815340	106826945	93.00318645395343	-5.356506255618054	0.731353698640233	-7.32409812868537	2.4051065456813984e-13	3.7279151458061676e-11
473	chr7	17094323	17096727	76.5318040426399	-6.329633886591261	0.9060528377970425	-6.9859434489284284	2.8294803846409863e-12	2.5692722522040507e-10
98	chr10	62294864	62301312	126.69429962591113	-4.26781079631776	0.6112197946751802	-6.9824485945940244	2.9007912524884446e-12	2.5692722522040507e-10
134	chr11	42708682	42713583	84.43183840119244	-4.45361207254729	0.6375878454113123	-6.985095629723358	2.846620158343087e-12	2.5692722522040507e-10
597	chr9	55261432	55265391	78.0106611648538	-5.960454654654972	0.8567644223143955	-6.956935301484476	3.4775456089253856e-12	2.695097846917174e-10
221	chr15	48460747	48466313	65.52493322951706	-4.758854136427193	0.7007419722481247	-6.791164686710298	1.1123185984591383e-11	7.662639233829619e-10
495	chr7	39966761	39969843	100.9461664194694	-4.3660444385250035	0.6463481993926558	-6.75494175218184	1.4289265085552525e-11	8.859344353042565e-10
4	chr1	114697479	114699890	69.51622354369962	-4.217954799802475	0.6323612997378842	-6.67016593449161	2.5551436050359266e-11	1.4401718501111588e-09
21	chr1	151671795	151675510	70.8753005337061	-4.885518519861181	0.7371971774645694	-6.627153045625958	3.4222277314807695e-11	1.7681509945983975e-09
85	chr10	31599394	31603722	96.33715091577812	-4.35958290598435	0.6709994610041575	-6.497148148912356	8.185684535110486e-11	3.90394185520654e-09
23	chr1	15577427	15581936	98.43990311774293	-3.9407839482127396	0.6146547412658802	-6.4113781016261315	1.442100419836228e-10	5.960681735323076e-09
330	chr4	191400869	191403121	44.640575025580056	-4.985001551842781	0.7772102321644944	-6.413967991594479	1.4177998844886283e-10	5.960681735323076e-09
594	chr9	51774648	51777896	56.26421253437085	-4.370524935993764	0.6883995416749527	-6.348820229252028	2.1697239796321694e-10	8.407680421074657e-09
567	chr8	99500320	99501494	43.95451098086874	-4.642689856268802	0.7379818887177184	-6.2910620534817125	3.153012527645067e-10	1.0860376484110785e-08
218	chr15	30626554	30644219	159.89529673396513	-3.7182942010240896	0.590695236611941	-6.294776003868191	3.078440690655403e-10	1.0860376484110785e-08
412	chr6	131379221	131421262	187.71255281402605	-3.8928406390196995	0.6228324131876749	-6.250221659300012	4.098705669198794e-10	1.2840178154952788e-08
76	chr10	118385936	118386883	42.17905210984213	-6.14605375050479	0.9835919675671034	-6.248580664710937	4.141992953210577e-10	1.2840178154952788e-08
327	chr4	185291857	185298378	36.53469915148808	-5.3511940973557754	0.8594424444442295	-6.226355391158508	4.774104577449037e-10	1.4094975419135254e-08
224	chr15	53940089	53942424	63.55652108877539	-4.151630711573425	0.6684424051196587	-6.210902659340166	5.268110092719269e-10	1.4434609418352188e-08
189	chr13	91104832	91109878	127.89397409547757	-3.8026870704169657	0.6125128529554795	-6.208338408032336	5.354774461646779e-10	1.4434609418352188e-08
