Enhancer_ID	chr	start	end	SRR13652347	SRR13652348	SRR13652349	SRR13652338	SRR13652339	SRR13652340
1	chr1	103756444	103758821	54.703472290206484	40.48373084717217	18.341407725667015	15.049264200605636	12.90836826544701	38.96410093899469
2	chr1	10563775	10566479	72.4451389789221	43.597863989262336	82.87599046412502	40.8480028302153	38.72510479634103	23.758598133533347
3	chr1	10568571	10569860	13.306250016536712	26.47013170776642	46.87248641003793	3.583158143001342	8.298236742073078	4.751719626706669
4	chr1	107419996	107421487	36.961805601490866	28.027198278811504	42.79661802655637	50.880845630619056	34.1149732729671	21.85791028285068
5	chr1	114697226	114699890	198.11527802399104	123.0082591125616	175.26234048970701	90.29558520363382	116.17531438902309	40.864788789677355
6	chr1	114705757	114706881	144.8902779578442	82.52452826538942	114.80362613473058	45.14779260181691	51.63347306178804	19.006878506826677
7	chr1	115532649	115534666	70.96666675486246	45.15493056030742	74.72425369716191	39.414739573014764	57.165630889836756	33.26203738694669
8	chr1	119666738	119669145	29.569444481192694	65.39679598389351	79.4794334778904	31.53179165841181	37.80307849166624	8.553095328072004
9	chr1	119912022	119913346	155.23958352626164	171.27732281495918	180.0175202704355	54.4640037736204	55.32157828048719	18.056534581485344
10	chr1	119930658	119932903	38.4402778255505	46.711997131352504	61.138025752223385	21.498948858008053	23.05065761686966	15.205502805461341
11	chr1	121052078	121053629	158.1965279743809	361.23944448245936	214.66240153002877	121.82737686204563	92.20263046747864	28.510317760240014
12	chr1	123626426	123628055	38.4402778255505	10.899465997315584	52.986288985260266	31.53179165841181	38.72510479634103	19.006878506826677
13	chr1	137162771	137166509	22.17708336089452	28.027198278811504	23.775898903642425	13.6160009434051	9.220263046747863	10.453783178754673
14	chr1	142568383	142569821	34.0048611533716	73.18212883911893	62.49664854671723	43.71452934461637	44.257262624389746	16.155846730802676
15	chr1	142872461	142873535	8.870833344357807	26.47013170776642	23.0965875063955	12.899369314804831	8.298236742073078	3.8013757013653353
16	chr1	142956056	142957631	20.698611136834884	14.013599139405752	16.303473533926237	22.21558048660832	22.128631312194873	10.453783178754673
17	chr1	144692614	144694178	38.4402778255505	32.698397991946756	50.26904339627256	27.2320018868102	51.63347306178804	24.70894205887468
18	chr1	144993454	144996085	42.875694497729405	18.684798852541	93.06566142282892	10.032842800403758	28.582815444918378	12.35447102943734
19	chr1	144997341	144998739	28.090972257133057	17.12773228149592	46.87248641003793	4.299789771601611	17.518499788820943	10.453783178754673
20	chr1	145491826	145494274	81.31597232327991	57.61146312866809	91.02772723108815	56.6138986594212	32.270920663617524	11.404127104096005
21	chr1	145498273	145500851	16.26319446465598	1.5570665710450835	19.020719122913942	15.765895829205904	11.986341960772224	4.751719626706669
22	chr1	14552134	14596043	755.4993064944733	1163.1287285706774	1430.6298026020272	1057.748283813996	1236.4372745688886	1032.0735029206885
23	chr1	151660199	151661781	8.870833344357807	1.5570665710450835	13.586227944938528	15.049264200605636	7.376210437398291	14.255158880120007
24	chr1	151666154	151668332	36.961805601490866	14.013599139405752	76.08287649165577	22.21558048660832	18.440526093495727	6.652407477389337
25	chr1	151671777	151675549	245.42638919389935	66.9538625549386	201.07617358509023	180.59117040726764	126.31760374044573	63.673042997869366
26	chr1	152518095	152519384	72.4451389789221	130.79359196778702	99.17946399805126	31.53179165841181	59.00968349918633	9.503439253413339
27	chr1	15577031	15582488	187.7659724555736	154.14959053346325	355.95917215738945	131.8602196624494	158.58852440406326	86.48129720606138
28	chr1	171179536	171181255	56.181944514266114	71.62506226807385	82.87599046412502	32.96505491561235	70.99602545995856	20.907566357509346
29	chr1	17145790	17147427	8.870833344357807	17.12773228149592	4.075868383481559	20.065685600807516	22.128631312194873	1.9006878506826677
30	chr1	178550171	178551276	35.48333337743123	10.899465997315584	46.87248641003793	5.733053028802147	7.376210437398291	6.652407477389337
